video_stem,video_path,exercise_class,quality,split,action_name_raw,comment,action_guidance,judgement_key,frame_root,frame_start,frame_end,annotator
ThEnUZ_action_1__ann0,,kneeling pushing-ups,3.000000,train,Kneeling pushing-ups,"The movement was performed according to the instructions, but the back was not kept straight enough and the depth of the descent was insufficient.","cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",ThEnUZ_action_1,frames_open/ThEnUZ,241,691,cMbm9lThEn
ThEnUZ_action_1__ann1,,kneeling pushing-ups,4.000000,train,Kneeling pushing-ups,,"cross your feet, kneel on the mat, keep your back straight, keep your body in a straight line from the side, and put your hands on both sides of the chest, slightly wider than shoulder-width apart. bend your arms and bend down until your elbows are slightly above your torso, then stretch your arms and get up to restore.",ThEnUZ_action_1,frames_open/ThEnUZ,241,691,F03vpUuT3e
ThEnUZ_action_2__ann0,,high knee,3.000000,train,High Knee,"The movement follows the instructional text accordingly, the speed can be slightly increased, and the height of lifting legs can also be enhanced.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",ThEnUZ_action_2,frames_open/ThEnUZ,706,916,cMbm9lThEn
ThEnUZ_action_2__ann1,,high knee,3.000000,train,High Knee,"The movement is performed according to the instructional text, with a relatively fast pace and smooth motion. However, the thighs are not lifted high enough. An area for improvement is to raise the thighs to be parallel with the knees and hips.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",ThEnUZ_action_2,frames_open/ThEnUZ,706,916,mM1Khzfx1h
ThEnUZ_action_2__ann2,,high knee,2.000000,train,High Knee,"The overall movements are consistent with the instructed actions, but lacks fluidity and coherence in the execution. The range of motion in the legs is sufficient, but the arm movements should be more extensive. It would be better if the speed was increased.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",ThEnUZ_action_2,frames_open/ThEnUZ,706,916,O67IMRebhO
ThEnUZ_action_2__ann3,,high knee,4.000000,train,High Knee,"The overall movements generally follow the instructional text and are performed smoothly, but the speed of the movements is not fast enough. Additionally, when lifting the legs, the height of leg lift still needs improvement.","straighten your back, look ahead, and lift your legs alternately and quickly with your front feet on the ground. keep your body stable and swing your arms with the rhythm of the leg lifts. maintain the fastest speed.",ThEnUZ_action_2,frames_open/ThEnUZ,706,916,JsThJv07In
ThEnUZ_action_3__ann0,,leg lunge with knee lift,2.000000,train,Leg Lunge With Knee Lift,"The movements were completed according to the instructional text, but the starting position is not a lunge, the execution of the movements is insufficient, and the stability of the body posture is inadequate.","in the lunge position, the upper body is in a straight line with the back leg, and put your hands on your hips. get up, raise your knees simultaneously, and move as steadily and smoothly as possible. do not tilt your pelvis to the side during the lunge, and keep your pelvis and upper body always forward.",ThEnUZ_action_3,frames_open/ThEnUZ,2146,2596,cMbm9lThEn
ThEnUZ_action_3__ann1,,leg lunge with knee lift,1.000000,train,Leg Lunge With Knee Lift,"The exercise was not performed according to the instructional text, the speed was inconsistent, and the movements were not smooth. The exercise should start with a lunge and lift the knee.","in the lunge position, the upper body is in a straight line with the back leg, and put your hands on your hips. get up, raise your knees simultaneously, and move as steadily and smoothly as possible. do not tilt your pelvis to the side during the lunge, and keep your pelvis and upper body always forward.",ThEnUZ_action_3,frames_open/ThEnUZ,2146,2596,6nGisiWgNZ
ThEnUZ_action_3__ann2,,leg lunge with knee lift,1.000000,train,Leg Lunge With Knee Lift,"The actions did not follow the instructions in the text.
1) There was no lunge.
2) There was no","in the lunge position, the upper body is in a straight line with the back leg, and put your hands on your hips. get up, raise your knees simultaneously, and move as steadily and smoothly as possible. do not tilt your pelvis to the side during the lunge, and keep your pelvis and upper body always forward.",ThEnUZ_action_3,frames_open/ThEnUZ,2146,2596,dgYj2Soc0K
ThEnUZ_action_4__ann0,,sit-ups,5.000000,train,Sit-ups,"The movement is performed according to the instructional text, with appropriate speed and smooth movement.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",ThEnUZ_action_4,frames_open/ThEnUZ,2611,3286,cMbm9lThEn
ThEnUZ_action_4__ann1,,sit-ups,4.000000,train,Sit-ups,"The movements are performed according to the instructional text, with the correct frequency of 2 seconds per repetition.","lie on the mat, put your arms straight on either side of your head, put your feet together, open your legs, and use your abdominal muscles to get up. keep your head, shoulders, upper back, and lower back off the ground in turn, and touch your feet with your hands. make sure your lower back, upper back, shoulder, and head touch the ground in turn when lowering. control your speed throughout the action, with the frequency of about once every 2 seconds.",ThEnUZ_action_4,frames_open/ThEnUZ,2611,3286,mM1Khzfx1h
